alcohol,category,country,price,rating,region,varietal,vintage
12.0,White,Portugal,12.0,88,Vinho Verde,Portuguese White,2012.0
13.0,White,Portugal,14.0,88,Douro,Portuguese White,2012.0
13.0,White,Portugal,15.0,88,Lisboa,Portuguese White,2011.0
13.0,White,Portugal,15.0,88,Douro,Portuguese White,2012.0
12.5,White,Portugal,25.0,88,Bucelas,Arinto,2012.0
14.0,White,Portugal,15.0,88,Alentejano,Portuguese White,2012.0
10.0,White,Portugal,9.0,86,Vinho Verde,Portuguese White,2012.0
12.5,White,Portugal,9.0,86,Tejo,Portuguese White,2012.0
13.0,White,Portugal,14.0,86,Lisboa,Arinto,2010.0
12.5,White,Portugal,15.0,86,Alentejo,Portuguese White,2012.0
12.5,White,Portugal,15.0,87,Lisboa,Alvarinho,2011.0
11.5,White,Portugal,12.0,87,Vinho Verde,Portuguese White,2012.0
9.0,White,Portugal,8.0,84,Vinho Verde,Portuguese White,2012.0
12.5,White,Portugal,9.0,84,Tejo,Portuguese White,2012.0
10.0,White,Portugal,8.0,85,Vinho Verde,Portuguese White,2012.0
12.5,White,Portugal,10.0,85,Alentejano,Portuguese White,2012.0
14.0,White,Portugal,12.0,85,Península de Setúbal,Portuguese White,2012.0
13.0,White,Portugal,9.0,85,Península de Setúbal,Portuguese White,2012.0
10.0,White,Portugal,8.0,85,Vinho Verde,Portuguese White,2012.0
10.0,White,Portugal,9.0,84,Vinho Verde,Portuguese White,2012.0
13.0,White,Portugal,15.0,91,Tejo,Fernão Pires,2011.0
13.0,White,Portugal,30.0,87,Table wine,White Blend,2010.0
13.5,White,Portugal,10.0,88,Alentejano,Portuguese White,2011.0
13.0,White,Portugal,16.0,87,Lisboa,Portuguese White,2010.0
13.5,White,Portugal,26.0,89,Dão,Encruzado,2011.0
12.5,White,Portugal,15.0,89,Tejo,Portuguese White,2011.0
13.0,White,Portugal,19.0,88,Bairrada,Portuguese White,2010.0
13.0,White,Portugal,10.0,85,Tejo,Portuguese White,2011.0
13.0,White,Portugal,11.0,85,Tejo,Portuguese White,2011.0
13.0,White,Portugal,11.0,86,Tejo,Fernão Pires,2010.0
13.0,White,Portugal,10.0,87,Tejo,Portuguese White,2011.0
13.5,White,Portugal,19.0,87,Bairrada,Arinto,2010.0
